Part Nbr,Part Description,Part Revision Nbr,MQI Rev Nbr,PO Nbr,Line Nbr,Sched Rel,Status Code,Buyer Code,Open Sched Qty,Need Date,Promise Date,Delivery Date,PO Status,Notes,Division Name,Last Rcpt Qty,Location Name,PO Rel,Last Rcpt Date,Accum Rcpt Qty,In Transit Qty,Orig Need Date,Orig Sched Qty,DivisionID,LocationCD,Company Nbr,Order Date,Contract Nbr,Stocking UOM,Supplier Name,Supplier ID
Part 16,Customer S 3,A,8,Z51106PPAP,1,1,SH,13,25,01/31/2025,01/30/2026,01/30/2026,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,25,687648,J1,66,11/03/2021,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 16,COVER-KB-GY,A,8,Z5113006FA,1,1,SH,13,5,01/31/2025,01/30/2026,01/30/2026,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,5,687648,J1,66,11/03/2021,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 17,ASSY-BODY- PARTIAL,B,5,Z513209PAP,1,1,SH,13,25,04/21/2025,04/20/2029,04/25/2029,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,25,687648,J1,66,10/15/2024,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 17,ASSY-BODY- PARTIAL,B,5,Z5132092FA,1,1,SH,13,5,04/21/2025,04/20/2029,04/25/2029,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,5,687648,J1,66,10/15/2024,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 18,PISTON,A,7,LTA500328A,21,1,SH,12,25,10/31/2025,12/16/2025,12/16/2025,Open,Y,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,25,687648,J1,66,12/12/2016,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,95,SH,12,8,11/11/2025,12/04/2025,07/18/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/05/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,96,SH,12,21,11/11/2025,12/15/2025,07/25/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/06/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,97,SH,12,21,11/18/2025,12/15/2025,08/08/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/07/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,98,SH,12,33,11/18/2025,12/23/2025,10/02/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/08/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 20,"FITTING, SENSE TUBE",A,3,H510630336,1,1,SH,10,22,11/19/2025,01/05/2026,01/05/2026,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,22,687648,J1,66,07/18/2025,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 7,ASSY-HOUSING-KB-GY,T,7,DM51200205,1,1,SH,12,3,11/20/2025,12/05/2025,11/13/2025,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,1,687648,J1,66,06/30/2025,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 7,ASSY-HOUSING-KB-GY,T,7,DM51200369,1,1,SH,12,8,11/20/2025,12/05/2025,11/13/2025,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,8,687648,J1,66,07/18/2025,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 7,ASSY-HOUSING-KB-GY,T,7,DM51200624,1,1,SH,12,11,11/20/2025,12/05/2025,11/13/2025,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,11,687648,J1,66,07/18/2025,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 7,ASSY-HOUSING-KB-GY,T,7,DM51201307,1,1,SH,12,12,11/20/2025,12/05/2025,11/13/2025,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,12,687648,J1,66,08/15/2025,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,99,SH,12,18,11/25/2025,12/23/2025,10/09/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/09/2000,15,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 7,ASSY-HOUSING-KB-GY,T,7,DM51249715,1,1,SH,12,15,11/25/2025,12/05/2025,11/13/2025,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/02/2000,15,687648,J1,66,03/18/2025,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,100,SH,12,18,11/25/2025,12/23/2025,10/23/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/10/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 18,PISTON,A,7,LTA500328A,21,2,SH,12,25,11/26/2025,12/22/2025,12/22/2025,Open,N,FLUID SYSTEMS - IRVINE,,"IRVINE, CA",0,,0,0.0,01/03/2000,4,687648,J1,66,12/12/2016,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 11,PISTON-ASSY-GY      -KB,A,11,KBA500328A,16,47,SH,12,40,12/02/2025,,12/02/2025,Open,N,FLUID SYSTEMS - IRVINE,40.0,"IRVINE, CA",0,11/18/2025,0,0.0,02/17/2000,40,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 8,BODY-KB-GY,J,20,KBA500328A,4,51,SH,12,24,12/02/2025,,12/02/2025,Open,N,FLUID SYSTEMS - IRVINE,24.0,"IRVINE, CA",0,11/04/2025,0,0.0,02/21/2000,24,687648,J1,66,04/25/2018,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 21,ARM(PUSH)-GY,-,6,LTA5F0328A,6,17,SH,12,16,12/02/2025,02/10/2026,12/02/2025,Open,N,FLUID SYSTEMS - IRVINE,31.0,"IRVINE, CA",0,03/21/2025,0,0.0,01/18/2000,6,687648,J1,66,05/22/2017,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 21,ARM(PUSH)-GY,-,6,LTA5F0328A,6,16,SH,12,17,12/02/2025,12/01/2025,10/28/2025,Open,N,FLUID SYSTEMS - IRVINE,31.0,"IRVINE, CA",0,03/21/2025,0,0.0,01/17/2000,1,687648,J1,66,05/22/2017,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,101,SH,12,18,12/08/2025,12/23/2025,11/11/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/11/2000,12,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 4,HOUSING ASSY,E,5,KBA500328A,17,62,SH,12,6,12/09/2025,12/05/2025,12/09/2025,Open,N,FLUID SYSTEMS - IRVINE,6.0,"IRVINE, CA",0,11/14/2025,0,0.0,03/03/2000,3,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,102,SH,12,18,12/09/2025,12/23/2025,11/11/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/12/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 22,ASSY-SCREW-,A,5,LTA5F0328A,3,143,SH,12,279,12/10/2025,12/10/2025,12/10/2025,Open,N,FLUID SYSTEMS - IRVINE,288.0,"IRVINE, CA",0,11/05/2025,0,0.0,05/23/2000,12,687648,J1,66,05/22/2017,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 23,BODY-GY,L,3,LTA500328A,19,6,SH,12,7,12/10/2025,12/10/2025,12/10/2025,Open,N,FLUID SYSTEMS - IRVINE,9.0,"IRVINE, CA",0,11/04/2025,0,0.0,01/07/2000,16,687648,J1,66,12/12/2016,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 24,BODY-KB-GY,K,21,KBA500328A,2,68,SH,12,16,12/11/2025,,12/11/2025,Open,N,FLUID SYSTEMS - IRVINE,16.0,"IRVINE, CA",0,11/17/2025,0,0.0,03/09/2000,16,687648,J1,66,04/25/2018,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 24,BODY-KB-GY,K,21,KBA500328A,2,69,SH,12,16,12/12/2025,,12/12/2025,Open,N,FLUID SYSTEMS - IRVINE,16.0,"IRVINE, CA",0,11/17/2025,0,0.0,03/10/2000,16,687648,J1,66,04/25/2018,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,103,SH,12,18,12/16/2025,12/23/2025,11/18/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/13/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 19,ASSY-HOUSING-SHARED,D,12,LTA5F0328A,5,104,SH,12,18,12/16/2025,12/23/2025,11/24/2025,Open,N,FLUID SYSTEMS - IRVINE,17.0,"IRVINE, CA",0,10/28/2025,0,0.0,04/14/2000,18,687648,J1,66,05/22/2017,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 25,ASSY-HOUSING,E,10,LTA500328A,17,49,SH,12,40,12/16/2025,12/11/2025,12/11/2025,Open,Y,FLUID SYSTEMS - IRVINE,123.0,"IRVINE, CA",0,11/04/2025,0,0.0,02/19/2000,30,687648,J1,66,12/12/2016,Commercial,EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 5,PISTON                -KB,-,1,KBA500328A,7,47,SH,12,16,12/17/2025,,12/17/2025,Open,N,FLUID SYSTEMS - IRVINE,20.0,"IRVINE, CA",0,10/09/2025,0,0.0,02/17/2000,11,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 4,HOUSING ASSY,E,5,KBA500328A,17,63,SH,12,6,12/17/2025,12/08/2025,12/17/2025,Open,N,FLUID SYSTEMS - IRVINE,6.0,"IRVINE, CA",0,11/14/2025,0,0.0,03/04/2000,3,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
Part 3,"FITTING,INLET KB-GY",-,7,KBA500328A,19,34,SH,12,20,12/18/2025,,12/18/2025,Open,N,FLUID SYSTEMS - IRVINE,29.0,"IRVINE, CA",0,11/14/2025,0,0.0,02/04/2000,5,687648,J1,66,04/25/2018,"Govt, DFARS Compliant",EA,MAINI PRECISION PRODUCTS LIMIT,Supplier 1
