PO,Line,Revision,Contract,Line.1,Revision.1,Repair/Replace/Rework,Delivery Seq,Contact,E-mail,Item Number,Item Description,PPAP Req,Due Date,Supplier Commit Date,Govt Req,Original Order Qty,Balance Due,Avail Ship Qty,Draft,Kanban Item,Ack Req,Acknowledgement Text,Del Sch Creation Date,Notes,Ship To Label,Location Name,Address 1,City,State,Zip,Country
6600622682,10,11,7000015123.0,60.0,4.0,,1,Name 1,Mail ID 2,Part 254,"PLATE, GEARHEAD - PPU, SIZE 18, DUAL SEN",N,2025-06-10T00:00:00,2025-12-11T00:00:00,,53,53,0,Y,N ,N,ACCEPT,2024-11-02T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600622682,10,11,7000015123.0,60.0,4.0,,2,Name 1,Mail ID 2,Part 254,"PLATE, GEARHEAD - PPU, SIZE 18, DUAL SEN",N,2025-06-10T00:00:00,2026-01-02T00:00:00,,40,40,-13,Y,N ,N,ACCEPT,2025-11-19T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600628840,10,7,7000015123.0,60.0,4.0,,1,Name 1,Mail ID 2,Part 254,"PLATE, GEARHEAD - PPU, SIZE 18, DUAL SEN",N,2025-07-07T00:00:00,2026-01-02T00:00:00,,20,20,20,Y,N ,N,ACCEPT,2024-12-07T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600636146,10,4,7000015123.0,60.0,4.0,,1,Name 1,Mail ID 2,Part 254,"PLATE, GEARHEAD - PPU, SIZE 18, DUAL SEN",N,2025-07-23T00:00:00,2026-01-05T00:00:00,,247,247,247,,N ,N,accepted,2025-01-25T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600634853,10,10,7000001444.0,80.0,30.0,,1,Name 1,Mail ID 2,Part 255,"HOUSING, DUAL WINDING",N,2025-08-23T00:00:00,2025-12-01T00:00:00,"FA8625-11-C-6600,DO-A1,0.752,USD10.28;FA8609-22-D-B010,-,2.256,USD30.82",108,108,0,,N ,N,accepted,2025-01-17T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600637635,20,16,7000001444.0,80.0,30.0,,1,Name 1,Mail ID 2,Part 255,"HOUSING, DUAL WINDING",N,2025-09-09T00:00:00,2025-12-01T00:00:00,"FA8609-22-D-B010,-,0.376,USD5.14;FA8625-11-C-6600,DO-A1,4.598,USD62.80;FA8609-19-D-0007,DO-A1,0.472,USD6.45",33,33,33,,N ,N,ACCEPT,2025-08-13T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600649206,10,8,7000001444.0,110.0,30.0,,1,Name 1,Mail ID 2,Part 256,"SHAFT, ROTOR, RESOLVER - SIZE 11, FRONT",N,2025-09-25T00:00:00,2025-01-02T00:00:00,"FA8609-22-D-B010,-,0.720,USD11.64;FA8609-19-D-0007,DO-A1,3.598,USD58.18;FA8609-18-G-0002,NR-,2.879,USD46.55;FA8625-11-C-6600,DO-A1,2.879,USD46.55",90,90,90,,N ,N,accepted,2025-04-01T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600642832,10,5,7000014539.0,120.0,3.0,,2,Name 1,Mail ID 2,Part 257,"PLATE, GATE",N,2025-10-06T00:00:00,2025-12-20T00:00:00,,5,5,5,,N ,N,accepted,2025-11-14T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600640748,10,5,7000013866.0,10.0,3.0,,1,Name 1,Mail ID 2,Part 258,"SHAFT, ROTOR, BLDC MOTOR, 4 POLE, 1.0...",N,2025-10-08T00:00:00,2025-12-18T00:00:00,,19,19,19,,N ,N,accepted,2025-02-18T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
6600632420,10,15,7000014539.0,120.0,3.0,,1,Name 1,Mail ID 2,Part 257,"PLATE, GATE",N,2025-10-13T00:00:00,2026-01-05T00:00:00,,12,12,12,,N ,N,accepted,2025-01-04T00:00:00,,22828,Customer W 1,6800  Street,Miles,IL,60714,US
