PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,Last GR No.,Last GR Date,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
4500130861,Part 212,159,0,159,159,2025-11-25 23:59:59,2025-12-05 23:59:59,OPEN,✅W49- Shipped FedEx AWB 3959 9622 1345,W48 -💲PENALTY (Nov Commitment)🔺 Will impact End Nov!- please do not slip again - Additionnal demand validated by MAINI W18,10,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,REAR SLEEVE STOP,PCE,false,false,false,MEDIUM,4041,2000,888,MD124,,DAP,NOS USINES,33.46,USD,1,PCE,5320.14,0,159,,,true,2025-07-29 00:00:00,2025-12-02 08:14:50,TURBO,Supplier 3,12
4500130861,Part 212,75,0,75,75,2026-01-23 23:59:59,2026-01-23 23:59:59,OPEN,W47- RM Ordered ETA: Mid Dec,W45 -🔺 Will impact End Nov!- please do not slip again - Additionnal demand validated by MAINI W18,10,12,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,REAR SLEEVE STOP,PCE,false,false,false,MEDIUM,4041,2000,888,MD124,,DAP,NOS USINES,33.46,USD,1,PCE,2509.5,0,75,,,true,2025-11-21 00:00:00,2025-11-21 11:49:07,TURBO,Supplier 3,10
PL00016638,Part 213,72,0,72,72,2025-12-01 23:59:59,2025-12-05 23:59:59,OPEN,✅W49 - Shipped FedEx AWB 3959 9622 1345,🔺W48 - PENALTY - still not at Bordes Dec 2nd,10,166,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,REAR COVER STOP,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100016638,DAP,NOS USINES,,USD,1,PCE,,0,72,0004289454,2025-05-20 10:41:33,true,2025-10-24 00:00:00,2025-12-02 08:07:34,TURBO,Supplier 3,28
PL00016638,Part 213,31,0,31,31,2025-12-01 23:59:59,2025-12-05 23:59:59,OPEN,✅W49 - Shipped FedEx AWB 3959 9622 1345,W48 - PENALTY - still not at Bordes Dec 2nd,10,171,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,REAR COVER STOP,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100016638,DAP,NOS USINES,,USD,1,PCE,,0,31,0004289454,2025-05-20 10:41:33,true,2025-11-18 00:00:00,2025-12-02 08:07:34,TURBO,Supplier 3,30
PL00016638,Part 213,102,0,102,102,2026-01-08 23:59:59,2026-02-14 23:59:59,OPEN,W49- RM in transit ETA: Mid Dec,W47 -💲PENALTY 💥 RM late - Please challenge RM supplier,10,150,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,REAR COVER STOP,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100016638,DAP,NOS USINES,,USD,1,PCE,,0,102,,,true,2024-11-18 00:00:00,2025-12-02 08:55:20,TURBO,Supplier 3,10
PL00016638,Part 213,50,0,50,50,2026-02-27 23:59:59,2026-03-24 23:59:59,OPEN,W49- RM in transit ETA: Mid Jan,"W49 -💲PENALTY 💥 RM late, Ultimate need Mar 9th",10,170,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,REAR COVER STOP,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100016638,DAP,NOS USINES,,USD,1,PCE,,0,50,,,true,2025-11-10 00:00:00,2025-12-02 14:23:31,TURBO,Supplier 3,4
PL00016638,Part 213,50,0,50,50,2026-03-24 23:59:59,2026-03-24 23:59:59,OPEN,W49- RM in transit ETA: Mid Jan,,10,180,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,REAR COVER STOP,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100016638,DAP,NOS USINES,,USD,1,PCE,,0,50,,,true,2025-11-24 00:00:00,2025-12-02 08:55:31,TURBO,Supplier 3,2
PL00019246,Part 214,50,0,50,50,2025-09-05 23:59:59,2025-12-23 23:59:59,OPEN,"W49- Under M.C Turn -W49 (Marking, NDT, U/S Clean, Millipore Test, FI)  (RM Delay, Under M/C, LT 120 days) Will try to expedite partial 50 End Dec",W47-🔺💲PENALTY - Ultimate need Mid November partial of 50 parts,10,23,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,PISTON,PCE,false,false,false,MEDIUM,4041,2000,SC7,MD144,5100019246,DAP,NOS USINES,,USD,1,PCE,,0,50,,,true,2025-07-29 00:00:00,2025-12-02 09:04:39,TURBO,Supplier 3,19
PL00019246,Part 214,44,0,44,44,2025-12-26 23:59:59,2026-01-14 23:59:59,OPEN,"W49- Under M.C Turn -W50 (Marking, NDT, U/S Clean, Millipore Test, FI)  (RM Delay, Under M/C, LT 120 days)",W47-💲PENALTY - requested date updated for Dec 26th to show partial effort,10,31,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,PISTON,PCE,false,false,false,MEDIUM,4041,2000,SC7,MD144,5100019246,DAP,NOS USINES,,USD,1,PCE,,0,44,,,true,2025-07-29 00:00:00,2025-12-02 09:04:39,TURBO,Supplier 3,19
PL00019246,Part 214,100,0,100,100,2026-01-14 23:59:59,2026-01-14 23:59:59,OPEN,W49- Under Rough Machining,,10,30,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,PISTON,PCE,false,false,false,MEDIUM,4041,2000,SC7,MD144,5100019246,DAP,NOS USINES,,USD,1,PCE,,0,100,,,true,2025-10-13 00:00:00,2025-12-02 08:45:45,TURBO,Supplier 3,2
